NIB;NUIB do Titular;IBAN;Agência / ID Ponto;Agente / ID Ponto;Tipo de Conta;Moeda;Titularidade;Tipo de Titular;Regime de movimentação;Sector de Actividade do Titular;Dimensão da Empresa titular;Volume de Negócios da Empresa titular;Número de trabalhadores da empresa titular;Tipo de classificação da necessidade especial/deficiência;Canal preferencial de acesso à conta;Estado da Conta;Motivo de alteração do Estado;Data da última actualização do estado;Data de Abertura;Data de Encerramento;Data da Última Operação;Data da Última Actualização dos dados;Canal de Abertura;Frequência de utilização da conta;Regime de Abertura;Pessoa Politicamente Exposta  (PEP)
019465791809131707370;96079197334;MZ5901946579180913170737086363888271;AG041705;;01;MZN;01;01;05;62010;00;0.00;0;01;01;01;00;01-07-2025;21-01-2020;;;01-07-2025;01;02;S;N
011306424274262828016;16016978649;MZ5901130642427426282801662220819345;AG030903;;01;MZN;07;02;03;64190;01;3272430.29;130;00;05;01;00;16-12-2025;25-01-2016;;;16-12-2025;05;02;G;N
012822646183382413039;54659196449;MZ5901282264618338241303953172394248;AG031706;;01;MZN;01;01;05;55101;00;0.00;0;02;02;01;00;23-12-2025;15-07-2024;;;23-12-2025;02;03;S;N
010986266758725479533;11246867681;MZ5901098626675872547953375240982222;AG081209;;01;MZN;01;01;02;01110;00;0.00;0;02;01;01;00;17-04-2025;26-12-2024;;;17-04-2025;01;02;G;N
016280038348937955547;88532030784;MZ5901628003834893795554704056748339;AG021501;;01;MZN;03;02;01;86100;01;10132205.39;463;00;03;01;00;16-11-2025;16-02-2022;;;16-11-2025;03;03;S;N
016702923788848882020;19079789807;MZ5901670292378884888202036229777803;AG030507;;02;MZN;01;01;03;64190;00;0.00;0;02;01;01;00;01-10-2025;02-05-2016;;;01-10-2025;01;02;G;N
017144183918349675009;26809390470;MZ5901714418391834967500977129086360;AG031208;;01;MZN;01;01;05;47730;00;0.00;0;01;01;01;00;10-06-2025;23-03-2022;;;10-06-2025;01;02;G;N
019048911589055003656;43805849891;MZ5901904891158905500365619591934396;AG031401;;01;MZN;01;01;02;47210;00;0.00;0;01;01;02;17;07-04-2025;05-04-2019;;;07-04-2025;01;02;S;N
019041014631820856772;66180942498;MZ5901904101463182085677240039621301;AG060605;;02;MZN;01;01;04;47210;00;0.00;0;02;03;02;06;16-08-2025;27-08-2021;;;16-08-2025;03;01;S;N
011856363475267235140;48001876561;MZ5901185636347526723514035431678252;AG042206;;02;MZN;04;02;01;47300;02;20292801.26;415;00;01;01;00;18-05-2025;08-05-2019;;;18-05-2025;01;02;S;N
012116795206004542029;79484171638;MZ5901211679520600454202913918796183;AG020606;;02;MZN;01;01;03;01130;00;0.00;0;01;03;01;00;25-11-2025;26-11-2016;;;25-11-2025;03;02;G;N
015588377637805040410;96748189166;MZ5901558837763780504041055024476674;AG021104;;01;MZN;01;01;05;62010;00;0.00;0;01;01;01;00;30-08-2025;03-08-2017;;;30-08-2025;01;01;G;N
017326386407491372781;96089549612;MZ5901732638640749137278171526612252;AG020307;;01;MZN;01;01;04;47210;00;0.00;0;01;03;01;00;11-09-2025;13-03-2025;;;11-09-2025;03;02;S;N
017743941576580137529;41504334398;MZ5901774394157658013752993255233382;AG050803;;01;MZN;01;01;03;86100;00;0.00;0;01;03;01;00;22-04-2025;15-05-2020;;;22-04-2025;03;01;S;N
011561646285322438799;90903482236;MZ5901156164628532243879998394166192;AG050604;;04;MZN;01;01;03;49230;00;0.00;0;01;01;01;00;19-12-2025;28-09-2018;;;19-12-2025;01;01;S;N
016433885840506049457;96763182265;MZ5901643388584050604945753721783698;AG011608;;01;MZN;04;02;02;47110;01;3863674.91;88;00;05;01;00;07-09-2025;28-06-2019;;;07-09-2025;05;02;S;N
017556919224477623251;90986665418;MZ5901755691922447762325130890930643;AG071306;;05;MZN;01;01;03;47210;00;0.00;0;02;02;01;00;05-02-2025;07-08-2023;;;05-02-2025;02;02;S;N
013254682247985788360;81182096048;MZ5901325468224798578836089129279864;AG030108;;01;MZN;01;01;03;86100;00;0.00;0;02;04;01;00;15-07-2025;23-06-2017;;;15-07-2025;04;01;S;N
018694277190893904280;27425528255;MZ5901869427719089390428067116214490;AG031504;;01;MZN;01;01;05;01130;00;0.00;0;01;04;01;00;09-11-2025;04-12-2017;;;09-11-2025;04;03;S;N
012412072145282078471;90341218266;MZ5901241207214528207847131310604196;AG100701;;01;MZN;06;02;04;47110;01;26557763.29;480;00;03;01;00;11-08-2025;14-04-2019;;;11-08-2025;03;01;S;N
014126945436619094251;01254632546;MZ5901412694543661909425175490914905;AG100405;;01;MZN;01;01;02;56101;00;0.00;0;02;03;01;00;23-10-2025;10-11-2016;;;23-10-2025;03;01;G;N
015766970635960122400;89734731896;MZ5901576697063596012240007742584002;AG060607;;02;MZN;01;01;02;47110;00;0.00;0;02;03;01;00;02-12-2025;05-04-2020;;;02-12-2025;03;01;S;N
016882810280267429493;39097618669;MZ5901688281028026742949361921454243;AG061007;;05;MZN;06;02;04;64190;02;13120830.92;286;00;03;01;00;12-02-2025;11-10-2023;;;12-02-2025;03;02;S;N
010473914832488186810;94908311824;MZ5901047391483248818681002704790696;AG031202;;01;MZN;01;01;01;01110;00;0.00;0;01;02;01;00;29-09-2025;24-03-2016;;;29-09-2025;02;01;S;N
017230272694613838628;99990041863;MZ5901723027269461383862897407402332;AG031603;;01;MZN;01;01;01;41000;00;0.00;0;01;01;01;00;25-07-2025;16-06-2016;;;25-07-2025;01;01;S;N
016872460585726784893;30094607162;MZ5901687246058572678489302940079019;AG090609;;01;MZN;01;01;05;85210;00;0.00;0;01;05;01;00;22-10-2025;02-09-2017;;;22-10-2025;05;01;G;N
010719473654895072835;56196584192;MZ5901071947365489507283548370151982;AG030804;;01;MZN;01;01;03;62010;00;0.00;0;01;05;01;00;06-10-2025;14-10-2022;;;06-10-2025;05;04;G;N
014066461956069664961;61572584751;MZ5901406646195606966496145026943506;AG030701;;01;MZN;04;02;01;55101;03;10415063.42;364;00;05;04;16;24-10-2025;07-01-2023;;;24-10-2025;05;01;G;N
