NUIB;Referência do depósito;Tipo de Depósito;Tipo de Contraparte;País da Contraparte;Latitude;Longitude;Tipo de taxas de juros;Taxa de juro de referência;Taxa Anual Efectiva (TAE);Taxa Anual Nominal Bruta (TANB);Taxa Anual Nominal Líquida (TANL);Moeda;Data de Depósito;Data de Maturidade;Data do 1º Pagamento de Juros;Frequência de pagamento de juros
53748807915;BCO02DEP000000001;DP;0;MZ;-16.2604;38.5917;1;6;2.3903;3.3682;1.9123;MZN;31-07-2025;31-07-2026;30-08-2025;1
80005567114;BCO02DEP000000002;DO;1;MZ;-20.7679;30.7892;1;6;1.9096;2.5661;1.5277;MZN;25-03-2025;;24-04-2025;3
63027874313;BCO02DEP000000003;DO;0;MZ;-14.2002;32.7898;1;1;1.0670;1.5686;0.8536;MZN;21-08-2025;;20-09-2025;3
31115100729;BCO02DEP000000004;DP;1;MZ;-16.2066;38.8421;1;7;4.0508;4.0870;3.2406;MZN;01-08-2025;28-01-2026;31-08-2025;6
33557048896;BCO02DEP000000005;DO;1;MZ;-21.7449;38.8823;3;1;0.8962;1.3167;0.7170;MZN;17-08-2025;;16-09-2025;3
00528988845;BCO02DEP000000006;DP;1;MZ;-14.5721;37.4916;1;4;11.2167;12.1064;8.9733;MZN;16-10-2025;14-01-2026;15-11-2025;3
05235004014;BCO02DEP000000007;DP;0;MZ;-10.2110;30.9468;1;4;7.5651;8.4274;6.0521;USD;28-11-2025;28-11-2026;28-12-2025;5
10850833189;BCO02DEP000000008;DP;1;MZ;-23.9300;36.8278;1;7;6.8598;7.7633;5.4879;MZN;31-08-2025;27-02-2026;30-09-2025;5
98925711835;BCO02DEP000000009;DO;1;MZ;-22.0009;35.7872;1;2;0.8548;1.0186;0.6839;MZN;24-11-2025;;24-12-2025;2
57269745510;BCO02DEP000000010;DO;0;MZ;-10.1402;36.6157;2;7;0.6628;0.7899;0.5303;MZN;23-05-2025;;22-06-2025;5
14517665172;BCO02DEP000000011;DP;0;MZ;-18.8742;39.5539;2;6;10.0341;10.5825;8.0272;EUR;10-01-2025;09-02-2025;09-02-2025;3
35065129864;BCO02DEP000000012;DP;0;MZ;-23.8272;34.0942;2;6;9.6284;9.9227;7.7027;USD;14-07-2025;14-07-2026;13-08-2025;3
21755221611;BCO02DEP000000013;DO;1;MZ;-15.9574;34.9502;1;2;1.3621;1.8654;1.0897;USD;06-05-2025;;05-06-2025;2
43924766379;BCO02DEP000000014;PA;1;MZ;-18.8894;33.8440;1;5;8.3409;8.6665;6.6728;MZN;24-10-2025;24-10-2027;23-11-2025;6
01716936076;BCO02DEP000000015;DO;0;MZ;-16.6329;39.4174;1;7;1.4061;1.5834;1.1249;MZN;27-12-2025;;26-01-2026;4
71131824985;BCO02DEP000000016;DS;1;MZ;-18.5738;39.7699;1;7;9.8009;10.7058;7.8407;MZN;07-10-2025;;06-11-2025;2
67076503929;BCO02DEP000000017;DO;0;MZ;-21.0427;38.6858;1;1;0.5739;1.0084;0.4591;MZN;17-12-2025;;16-01-2026;4
85835105092;BCO02DEP000000018;DO;0;MZ;-13.2668;33.8386;1;1;1.9334;2.5602;1.5467;MZN;24-12-2025;;23-01-2026;6
87582823219;BCO02DEP000000019;DO;0;MZ;-12.5334;37.5712;1;7;1.7977;2.1607;1.4382;MZN;27-02-2025;;29-03-2025;1
08058359731;BCO02DEP000000020;DO;1;MZ;-22.0918;34.3505;1;3;0.1967;0.8390;0.1574;MZN;18-11-2025;;18-12-2025;6
43612653310;BCO02DEP000000021;DO;1;MZ;-17.3211;37.0367;3;2;1.1150;1.5545;0.8920;MZN;25-10-2025;;24-11-2025;9
79877396734;BCO02DEP000000022;DO;0;MZ;-21.6362;34.3391;1;1;1.8432;1.9480;1.4745;USD;18-12-2025;;17-01-2026;1
32356725482;BCO02DEP000000023;DS;0;MZ;-19.7395;38.8871;2;5;4.9878;5.8696;3.9902;MZN;20-06-2025;;20-07-2025;2
83169369762;BCO02DEP000000024;DO;0;MZ;-23.5774;36.6104;1;7;0.3174;0.6691;0.2540;MZN;07-04-2025;;07-05-2025;4
22946661229;BCO02DEP000000025;DO;1;MZ;-16.0409;36.5491;2;5;1.4255;2.0419;1.1404;MZN;03-02-2025;;05-03-2025;4
