NUIB;Número do cliente;Código da agência bancária;Designação da agência bancária;Referência do pedido;Referência do crédito;Canal de submissão;Data da submissão;Resultado da apreciação do pedido;Motivo da rejeição;Tipo de cliente em relação à operação;Tipo de crédito;Âmbito de crédito;Cliente entidade correlacionada;Código do produto de crédito;Designação do produto de crédito;Tipo de amortização;Modalidade do crédito;Indicador crédito verde;Finalidade do crédito;Montante solicitado;Montante aprovado;Moeda da operação;Data da contratação;Data efectiva do 1º desembolso/ utilização;Data do 1º pagamento de capital;Período de deferimento;Data de maturidade;Número de prestações;Frequência de reembolsos;Tipo de taxas de juros;Taxa de juro de referência;Spread da taxa de juros;Comissão do crédito por assinatura;Cedência da operação;Crédito Segurado;Operação vinculada ao sindicato;Local de utilização;Latitude;Longitude;Actividade económica;Origem de recursos;Percentagem dos recursos consignados
37791969105;CLI421688228238848696;AG091106;Agência Massingir;BCO04PED000000001;BCO04CRD000000001;A;05-09-2025;A;;N;1;3;N;AGR01;AGR01 Produto de crédito;JUR;401;NVE;105;618958.15;581805.85;MZN;13-09-2025;18-09-2025;18-10-2025;155;23-01-2028;107;5;1;2;7.6560;8287.86;S;S;N;091103;-16.3098;35.5444;49230;P;
83211974678;CLI369356336100728936;AG090705;Agência Guija;BCO04PED000000002;BCO04CRD000000002;O;05-01-2025;A;;N;1;3;N;EMP01;EMP01 Produto de crédito;SLA;300;NVE;108;1340244.08;1302822.10;MZN;27-01-2025;27-01-2025;26-02-2025;158;11-11-2026;37;3;2;3;7.7437;11733.68;S;S;N;090702;-22.7164;30.8027;55101;M;12.42
80247663697;CLI884425438423116308;AG070901;Agência Machanga;BCO04PED000000003;BCO04CRD000000003;D;26-07-2025;A;;N;1;3;N;AGR01;AGR01 Produto de crédito;SLA;103;NVE;107;1071985.54;955300.94;MZN;31-07-2025;05-08-2025;04-09-2025;78;21-11-2026;58;2;1;2;7.9434;7570.02;S;S;S;070903;-12.0136;38.3755;55101;C;
62596497335;CLI894751526701634427;AG030301;Agência Erati;BCO04PED000000004;BCO04CRD000000004;P;12-09-2025;R;60;N;1;3;N;PES01;PES01 Produto de crédito;FIA;200;NVE;108;482324.01;0.00;MZN;;;;38;;0;3;1;5;6.7940;15513.79;N;S;N;030302;-10.6344;39.4655;62010;M;21.27
10257869205;CLI485243893851411813;AG070905;Agência Machanga;BCO04PED000000005;BCO04CRD000000005;D;23-10-2025;A;;N;3;1;C;PME01;PME01 Produto de crédito;IRR;204;NVE;111;2889809.21;2428278.93;USD;31-10-2025;10-11-2025;10-12-2025;129;20-03-2028;35;9;1;8;3.9825;9954.80;S;N;S;070903;-11.6545;30.1636;86100;C;
64664582373;CLI579203309855631040;AG071006;Agência Maringue;BCO04PED000000006;BCO04CRD000000006;A;23-07-2025;R;21;N;1;3;N;HAB01;HAB01 Produto de crédito;FIA;203;NVE;105;332929.49;0.00;USD;;;;122;;0;8;2;2;3.5270;8828.30;S;N;N;071003;-18.1560;33.6226;64190;M;67.95
23230349553;CLI919817605015937438;AG030102;Agência Nampula;BCO04PED000000007;BCO04CRD000000007;P;02-09-2025;A;;N;1;1;C;PME01;PME01 Produto de crédito;JUR;403;NVE;100;315683.14;265617.99;MZN;24-09-2025;29-09-2025;29-10-2025;14;13-10-2032;67;7;1;1;3.9585;8031.65;S;S;S;030103;-13.4262;34.2685;56101;M;51.42
15559714013;CLI715448833378910872;AG031506;Agência Muecate;BCO04PED000000008;BCO04CRD000000008;A;04-09-2025;A;;N;1;3;N;PME01;PME01 Produto de crédito;OUT;100;NVE;205;21689198.66;13098091.16;MZN;04-10-2025;14-10-2025;13-11-2025;12;15-01-2034;11;7;1;6;3.9840;10432.26;N;N;S;031502;-25.1096;31.2675;47730;C;
83390807598;CLI193745823226615819;AG081401;Agência Zavala;BCO04PED000000009;BCO04CRD000000009;O;02-04-2025;A;;N;1;2;N;EMP01;EMP01 Produto de crédito;JUR;101;NVE;102;894977.54;869217.71;MZN;16-04-2025;21-04-2025;21-05-2025;60;12-02-2031;70;8;1;7;13.2539;4382.84;N;S;N;081402;-22.6819;30.3861;62010;P;
01088091030;CLI240030041534666695;AG100806;Agência Namaacha;BCO04PED000000010;BCO04CRD000000010;P;28-01-2025;A;;E;1;3;C;PES01;PES01 Produto de crédito;JUR;203;NVE;206;13767204.58;12821862.57;MZN;10-02-2025;13-02-2025;15-03-2025;114;28-10-2029;55;5;1;8;4.7032;17912.28;N;S;S;100802;-15.0699;34.3421;47210;M;16.84
