NUIB;ID da transacção;ID da Agência bancária;NIB de débito;Data e hora de operação;Tipo de Operação;Moeda;Valor;Valor na moeda original;Comissão;NIB de crédito;Número de telemóvel de crédito
94078895960;BCO07TIB0000000001;AG070401;073579611696591574119;20-08-2025 14:46:03;02;MZN;4921.37;4921.37;26.52;905472440616480686175;866478062
47648625296;BCO07TIB0000000002;AG030506;071141604556764639132;23-06-2025 14:06:13;01;MZN;801675.74;801675.74;8595.41;940292302272451867557;821717617
10281327350;BCO07TIB0000000003;AG071204;073666217715199329399;13-09-2025 10:38:49;02;MZN;52673.43;52673.43;711.45;396302082243775832890;865804204
03195409207;BCO07TIB0000000004;AG100408;077046074559076209483;11-03-2025 14:17:11;01;MZN;64488.93;64488.93;356.82;790990432365297499164;824934377
38283645610;BCO07TIB0000000005;AG021702;072451551784122335819;02-12-2025 09:50:28;01;MZN;34532.83;34532.83;608.16;662071520158011828930;847325644
41566929688;BCO07TIB0000000006;AG070703;074034094843700580140;09-02-2025 16:05:08;02;MZN;45455.94;45455.94;393.49;827408856569261360785;844370877
57089594988;BCO07TIB0000000007;AG032002;077120119956028826097;23-10-2025 14:51:12;01;MZN;26123.66;26123.66;278.07;124468084473600241036;860040656
01745035587;BCO07TIB0000000008;AG100501;075720042558367722101;15-12-2025 14:08:10;03;MZN;198738.85;198738.85;1293.73;957913406515840453244;845965313
28666353402;BCO07TIB0000000009;AG031009;071267004055671570914;11-11-2025 08:16:12;03;MZN;114647.48;114647.48;227.68;848551306870668468372;850720817
20411912212;BCO07TIB0000000010;AG031308;077761260372841976351;10-03-2025 14:55:15;01;MZN;339752.75;339752.75;1043.80;825152030750180576402;820744684
23279525229;BCO07TIB0000000011;AG060102;071890310237044597534;15-01-2025 11:36:11;02;MZN;556852.40;556852.40;5442.87;281579573841803858509;866447294
81324918988;BCO07TIB0000000012;AG021002;079680604330439802024;15-03-2025 10:22:41;01;MZN;1881.25;1881.25;4.42;650496064699601411605;879672549
46096435887;BCO07TIB0000000013;AG010504;079385358418661726382;27-11-2025 15:23:16;01;MZN;416247.08;416247.08;805.20;153857084861193493469;844438047
70973399368;BCO07TIB0000000014;AG011007;070550099302032005076;03-03-2025 14:25:58;02;MZN;8357.67;8357.67;89.05;581533982865866712494;851877910
75464548116;BCO07TIB0000000015;AG040804;078090019447391767067;31-07-2025 16:43:19;03;MZN;158402.55;158402.55;2415.98;309678587322640368193;878869934
03047569528;BCO07TIB0000000016;AG090104;071751449781040660165;24-11-2025 08:11:14;02;MZN;34938.69;34938.69;572.81;941094381528094308087;825115233
78467403521;BCO07TIB0000000017;AG071302;075641672200962183665;04-11-2025 14:20:15;02;MZN;271055.17;271055.17;1624.29;367979004389267800492;853868880
96602421812;BCO07TIB0000000018;AG032208;073185301645845717385;10-06-2025 11:05:49;01;ZAR;70795.71;1123.74;128.86;356936018964658679267;851930314
52373559079;BCO07TIB0000000019;AG031804;072573312525649401334;29-10-2025 11:04:05;02;MZN;26207.53;26207.53;56.43;229919582045300676102;820127016
16378182048;BCO07TIB0000000020;AG100601;078729738617293159642;04-01-2025 08:01:47;03;MZN;17658.28;17658.28;209.04;667828194229639457068;845495462
