NUIB;Referência do crédito;Situação da operação;Estado de renegociação;Gestão de cobrança;Data da renegociação;Data do contencioso ou abate do activo;Montante desembolsado/ utilizado;Saldo de capital em dívida;Saldo de capital vencido;Juros vencidos;Juros vincendos;Juros de mora acumulados;Valor da prestação;Taxa de juros de referência;Taxa de juros efectiva;Taxa de juros de mora;Data início de atraso;N.º de dias de atraso;N.º de dias de atraso.1;N.º de prestações em atraso;Comissão de liquidação;Montante cobrado
51282631325;BCO08CRD000001677;REG;NRE;NOR;;;1696633.39;1696633.39;0.00;0.00;84831.67;0.00;33932.67;13.8590;20.7133;25.5240;;0;0;0;0.1005;0.00
74134534281;BCO08CRD000000998;REG;NRE;NOR;;;2174781.40;2174781.40;0.00;0.00;108739.07;0.00;24997.49;14.3161;14.6691;20.2968;;0;0;0;0.5334;0.00
03039577076;BCO08CRD000000706;REG;NRE;NOR;;;570658.54;570658.54;0.00;0.00;28532.93;0.00;25939.02;16.1749;23.5932;31.3466;;0;0;0;0.4978;0.00
24309908540;BCO08CRD000001341;REG;NRE;CON;;;139840.95;139840.95;0.00;0.00;6992.05;0.00;5378.50;16.5661;23.6658;27.9849;;0;0;0;2.6127;0.00
75920629210;BCO08CRD000001737;ANT;NRE;NOR;;;410643.95;410643.95;0.00;0.00;20532.20;0.00;6844.07;12.6582;19.3847;27.2055;;0;0;0;1.0882;54632.18
08156753627;BCO08CRD000001148;REG;NRE;NOR;;;5651932.19;5651932.19;0.00;0.00;282596.61;0.00;50017.10;16.3445;21.8073;28.9745;;0;0;0;2.5603;0.00
46379792929;BCO08CRD000000301;REG;NRE;NOR;;;9257082.70;9257082.70;0.00;0.00;462854.13;0.00;138165.41;13.4576;16.6808;22.4229;;0;0;0;2.1031;0.00
58729216377;BCO08CRD000000220;REG;NRE;NOR;;;546067.88;546067.88;0.00;0.00;27303.39;0.00;26003.23;16.2592;21.9543;28.6945;;0;0;0;1.6359;0.00
18131419513;BCO08CRD000001454;REG;NRE;ABA;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.1341;26.6662;33.7579;;0;0;0;2.2140;0.00
67623732109;BCO08CRD000000817;REG;NRE;NOR;;;1358903.42;1358903.42;0.00;0.00;67945.17;0.00;12353.67;16.1579;15.7580;23.3524;;0;0;0;0.0948;0.00
27177466195;BCO08CRD000001068;REG;NRE;NOR;;;429247.35;429247.35;0.00;0.00;21462.37;0.00;7154.12;20.1703;24.1808;29.0835;;0;0;0;0.8953;0.00
78364042023;BCO08CRD000001647;REG;NRE;NOR;;;390442.62;390442.62;0.00;0.00;19522.13;0.00;5577.75;12.5803;24.4351;28.9745;;0;0;0;2.4645;0.00
64634858529;BCO08CRD000000420;REG;NRE;NOR;;;198225.54;198225.54;0.00;0.00;9911.28;0.00;12389.10;14.5946;21.7789;28.7177;;0;0;0;0.1424;0.00
77377972072;BCO08CRD000000471;REG;NRE;NOR;;;407707.10;407707.10;0.00;0.00;20385.36;0.00;3882.92;17.5788;21.8684;25.5250;;0;0;0;0.3630;0.00
54413738472;BCO08CRD000001286;REG;NRE;CON;;;131614.51;131614.51;0.00;0.00;6580.73;0.00;1994.16;13.1353;20.7570;29.0177;;0;0;0;1.3300;0.00
62840974767;BCO08CRD000000763;REG;NRE;NOR;;;4126479.28;4126479.28;0.00;0.00;206323.96;0.00;52233.91;15.8373;17.4689;22.9912;;0;0;0;2.0504;0.00
74134534281;BCO08CRD000001673;REG;NRE;NOR;;;400445.78;400445.78;0.00;0.00;20022.29;0.00;14301.63;12.2567;17.1705;25.7447;;0;0;0;2.2934;0.00
23552899898;BCO08CRD000001170;REG;NRE;NOR;;;728596.92;728596.92;0.00;0.00;36429.85;0.00;14869.32;15.6128;20.8661;27.6215;;0;0;0;1.8629;0.00
54327200025;BCO08CRD000000035;REG;NRE;NOR;;;1030293.91;1030293.91;0.00;0.00;51514.70;0.00;44795.39;12.1612;13.5471;20.3263;;0;0;0;0.4611;0.00
64044914996;BCO08CRD000001320;REG;NRE;CON;;;1765225.83;1765225.83;0.00;0.00;88261.29;0.00;23226.66;10.1506;10.7158;17.0053;;0;0;0;0.1914;0.00
21947348306;BCO08CRD000001756;REG;NRE;NOR;;;19177079.95;19177079.95;0.00;0.00;958854.00;0.00;169708.67;15.7801;20.9670;26.4564;;0;0;0;1.0188;0.00
