ID da transacção;ID do Ponto;Data e hora de operação;Valor (MT);Comissão (MT);PAN;NIB de débito;Número de telefone de débito
BCO10TPOS0000000001;BCO10POS0000036;26-12-2025 12:24:26;11834.42;258.77;9440173275313979841;102351612194553431207;841877456
BCO10TPOS0000000002;BCO10POS0000063;06-11-2025 19:19:41;604.55;13.90;3854625011078891452;105826996048206305680;874625063
BCO10TPOS0000000003;BCO10POS0000025;06-04-2025 18:54:38;338.85;2.04;9607011504340193550;101028895529596636211;826750192
BCO10TPOS0000000004;BCO10POS0000014;26-12-2025 06:23:54;918.05;10.29;4384324449462379853;100538125023800280922;879080183
BCO10TPOS0000000005;BCO10POS0000047;18-06-2025 11:18:18;2871.86;37.49;9693392357005220171;107561284352615994957;863402324
BCO10TPOS0000000006;BCO10POS0000022;15-07-2025 18:15:25;24877.51;530.14;1182892415100995126;106857560758107093378;854861560
BCO10TPOS0000000007;BCO10POS0000036;12-04-2025 17:43:56;11409.39;243.38;6075820097896565233;103273735417738374681;847858044
BCO10TPOS0000000008;BCO10POS0000034;14-04-2025 19:28:47;1497.35;19.14;7920361866710503148;106166448532027727607;846717351
BCO10TPOS0000000009;BCO10POS0000016;10-02-2025 10:03:41;3715.23;52.26;3369799219452005903;101952526624538520709;863083086
BCO10TPOS0000000010;BCO10POS0000065;04-07-2025 16:48:26;1198.61;13.91;9738316752173000400;106657172347915964339;826740446
BCO10TPOS0000000011;BCO10POS0000067;19-03-2025 18:13:20;1496.49;30.72;3927225403744956768;107500479764177097963;845963546
BCO10TPOS0000000012;BCO10POS0000069;21-09-2025 17:51:49;714.82;1.75;5153004306349452789;108975847348378816248;876479745
BCO10TPOS0000000013;BCO10POS0000020;23-02-2025 12:44:54;773.25;6.05;8686031604462221950;100577453603376255526;848931704
BCO10TPOS0000000014;BCO10POS0000076;21-03-2025 17:30:53;1127.97;2.93;8985609287434883729;106917181391109428418;847739056
BCO10TPOS0000000015;BCO10POS0000074;06-01-2025 10:06:44;8191.77;201.54;1574360430972702136;105307813556378982897;870065047
BCO10TPOS0000000016;BCO10POS0000062;22-07-2025 12:06:28;1098.58;5.44;7447899559118835818;109765861859107298346;856851730
BCO10TPOS0000000017;BCO10POS0000010;12-07-2025 16:13:03;7360.43;42.82;9925257422887364262;107303925944842712965;840342222
BCO10TPOS0000000018;BCO10POS0000059;11-01-2025 09:03:45;2637.46;27.90;8323763727623104895;100739344980855757428;851103099
BCO10TPOS0000000019;BCO10POS0000027;11-05-2025 10:47:41;2069.24;25.26;1956172420361819394;107047341400647682016;879999773
BCO10TPOS0000000020;BCO10POS0000001;19-11-2025 06:59:00;1379.76;33.87;9773176757374715900;108300567283221392356;871337539
BCO10TPOS0000000021;BCO10POS0000027;29-10-2025 23:31:00;1247.87;4.27;3441092706981172302;100739344980855757428;846598963
BCO10TPOS0000000022;BCO10POS0000015;30-04-2025 11:34:03;110.83;1.44;1541946722535109870;102968423007452965443;858571094
BCO10TPOS0000000023;BCO10POS0000053;12-01-2025 09:52:21;913.12;11.57;1161641484712007577;102834393559860287322;841389432
BCO10TPOS0000000024;BCO10POS0000047;20-04-2025 15:47:22;1511.06;16.05;6541701659189639810;101969410873555690747;878001577
BCO10TPOS0000000025;BCO10POS0000007;05-04-2025 10:16:06;3444.19;31.69;3244774722712631659;109917606764256430343;848261105
BCO10TPOS0000000026;BCO10POS0000071;07-10-2025 10:11:26;2322.01;7.65;0676520403818848476;104904434873464051045;851215108
BCO10TPOS0000000027;BCO10POS0000044;24-03-2025 22:36:18;2517.51;47.86;6982748035402077264;105602315310797085328;844482444
BCO10TPOS0000000028;BCO10POS0000077;16-07-2025 13:33:53;1063.60;18.91;3365222048323773998;100006190056787661906;841652550
BCO10TPOS0000000029;BCO10POS0000059;18-07-2025 08:25:08;2612.87;8.65;8446853818736958112;105301725179097737596;847543030
BCO10TPOS0000000030;BCO10POS0000072;07-08-2025 13:13:01;4523.15;91.43;7948529655190333501;108519848941822189228;869215502
BCO10TPOS0000000031;BCO10POS0000026;18-10-2025 17:11:34;6221.95;15.55;2901997762527098623;109234739711865417430;825700606
BCO10TPOS0000000032;BCO10POS0000006;15-03-2025 16:15:26;160.24;3.84;6887678703572099748;108242550221416884765;870023136
